ZipCode,Community,Estimated Median Income,value - min,/max-min
91210,Glendale (Glendale Galleria PO Boxes),"$105,536 ","$83,245 ",0.44
91214,"Glendale, La Crescenta, Montrose","$116,201 ","$93,910 ",0.49
91301,"Agoura Hills, Cornell","$142,177 ","$119,886 ",0.63
91302,"Calabasas, Hidden Hills, Monte Nido","$146,521 ","$124,230 ",0.65
91303,Los Angeles (Canoga Park),"$66,494 ","$44,203 ",0.23
91304,"Los Angeles (Canoga Park, West Hills), Box Canyon","$74,987 ","$52,696 ",0.28
91306,Los Angeles (Winnetka),"$77,597 ","$55,306 ",0.29
91307,"Los Angeles (West Hills), Bell Canyon","$125,343 ","$103,052 ",0.54
91311,Los Angeles (Chatsworth),"$101,623 ","$79,332 ",0.42
91316,Los Angeles (Encino),"$79,858 ","$57,567 ",0.3
91321,Santa Clarita (Newhall),"$74,424 ","$52,133 ",0.27
91324,Los Angeles (Northridge),"$88,003 ","$65,712 ",0.35
91325,Los Angeles (Northridge),"$73,119 ","$50,828 ",0.27
91326,"Los Angeles (Northridge, Porter Ranch)","$130,322 ","$108,031 ",0.57
91331,"Los Angeles (Arleta, Hansen Hills, Pacoima)","$72,089 ","$49,798 ",0.26
91335,Los Angeles (Reseda),"$68,163 ","$45,872 ",0.24
91340,"San Fernando, Los Angeles (Mission Hills, Pacoima)","$67,638 ","$45,347 ",0.24
91342,"Los Angeles (Lake View Terrace, Sylmar), Kagel Canyon","$84,312 ","$62,021 ",0.33
91343,Los Angeles (North Hills),"$71,380 ","$49,089 ",0.26
91344,Los Angeles (Granada Hills),"$104,640 ","$82,349 ",0.43
91345,Los Angeles (Mission Hills),"$85,659 ","$63,368 ",0.33
91350,"Bouquet Canyon, Green Valley, Mint Canyon, Santa Clarita (Canyon County)","$122,399 ","$100,108 ",0.53
91351,Santa Clarita (Canyon Country),"$90,671 ","$68,380 ",0.36
91352,"Los Angeles (La Tuna Canyon, Sun Valley)","$65,085 ","$42,794 ",0.23
91354,Santa Clarita (Valencia),"$136,229 ","$113,938 ",0.6
91355,Santa Clarita (Valencia),"$104,637 ","$82,346 ",0.43
91356,Los Angeles (Tarzana),"$90,886 ","$68,595 ",0.36
91361,Westlake Village,"$122,305 ","$100,014 ",0.53
91362,Westlake Village,"$127,279 ","$104,988 ",0.55
91364,Los Angeles (Woodland Hills),"$116,443 ","$94,152 ",0.5
91367,Los Angeles (Woodland Hills),"$98,803 ","$76,512 ",0.4
91381,Stevenson Ranch,"$144,476 ","$122,185 ",0.64
91384,"Castaic, Val Verde","$119,866 ","$97,575 ",0.51
91387,"Santa Clarita (Canyon Country), Fair Oaks Ranch, Mint Canyon","$100,523 ","$78,232 ",0.41
91390,"Agua Dulce, Green Valley, Santa Clarita (Saugus)","$133,150 ","$110,859 ",0.58
91401,"Los Angeles (Valley Glen, Van Nuys)","$65,458 ","$43,167 ",0.23
91402,Los Angeles (Panorama City),"$51,485 ","$29,194 ",0.15
91403,"Los Angeles (Sherman Oaks, Van Nuys)","$104,499 ","$82,208 ",0.43
91405,Los Angeles (Valley Glen),"$54,391 ","$32,100 ",0.17
91406,"Los Angeles (Lake Balboa, Van Nuys)","$64,875 ","$42,584 ",0.22
91411,Los Angeles (Van Nuys),"$67,430 ","$45,139 ",0.24
91423,"Los Angeles (Sherman Oaks, Van Nuys)","$97,727 ","$75,436 ",0.4
91436,Los Angeles (Encino),"$157,898 ","$135,607 ",0.71
91501,Burbank,"$78,630 ","$56,339 ",0.3
91502,Burbank,"$52,906 ","$30,615 ",0.16
91504,Burbank (Glenoaks),"$89,219 ","$66,928 ",0.35
91505,Burbank,"$94,610 ","$72,319 ",0.38
91506,Burbank,"$83,217 ","$60,926 ",0.32
91601,"Los Angeles (North Hollywood, Toluca Terrace)","$61,761 ","$39,470 ",0.21
91602,"Los Angeles (North Hollywood, Studio City, Toluca Lake, West Toluca Lake)","$83,866 ","$61,575 ",0.32
91604,"Los Angeles (North Hollywood, Studio City)","$124,271 ","$101,980 ",0.54
91605,Los Angeles (North Hollywood),"$56,403 ","$34,112 ",0.18
91606,"Los Angeles (North Hollywood, Valley Glen)","$57,146 ","$34,855 ",0.18
91607,"Los Angeles (North Hollywood, Sherman Village, Valley Glen, Valley Village)","$80,871 ","$58,580 ",0.31
91702,"Azusa, Irwindale","$74,175 ","$51,884 ",0.27
91706,"Baldwin Park, Irwindale","$72,737 ","$50,446 ",0.27
91711,Claremont,"$112,430 ","$90,139 ",0.47
91722,Covina,"$86,583 ","$64,292 ",0.34
91723,Covina,"$73,977 ","$51,686 ",0.27
91724,"Charter Oak, Covina","$90,799 ","$68,508 ",0.36
91731,El Monte,"$52,758 ","$30,467 ",0.16
91732,El Monte,"$58,883 ","$36,592 ",0.19
91733,"El Monte, South El Monte","$59,375 ","$37,084 ",0.2
