,ZipCode,CrimeCount,VALUE-MIN(crime),Normalized Crime Rates,"Total Population, All Races"," ""American Indian & Alaska Native"""," ""Asian"""," ""Black or African American"""," ""Native Hawaiian & Other Pacific Islander"""," ""White (Not Hispanic or Latino)"""," ""Some other Race"""," ""Two or More Races"""," ""Hispanic or Latino""",value - min(pop),/max - min(pop),Community,Estimated Median Income,value - min(employ),/max-min(employ)
49,90029,1818.0,1817.0,0.387007455,"35,037",0.81%,15.77%,3.92%,0.11%,24.63%,38.47%,6.83%,53.51%,"35,009",0.319766539,Los Angeles (East Hollywood),"$50,822 ","$28,531 ",0.15
50,90059,573.0,572.0,0.121831736,"41,315",2.01%,0.23%,23.94%,0.02%,1.27%,36.57%,11.38%,72.64%,"41,287",0.377108775,"Los Angeles (Southeast Los Angeles, Watts), Willowbrook","$47,682 ","$25,391 ",0.13
51,90272,577.0,576.0,0.122683706,"21,282",0.07%,7.26%,0.45%,0.02%,82.10%,0.59%,6.33%,5.02%,"21,254",0.194130596,"Los Angeles (Castellemare, Pacific Highlands, Pacific Palisades, Topanga State Park)","$212,115 ","$189,824 ",1.0
52,90032,1419.0,1418.0,0.302023429,"45,298",1.31%,12.03%,2.14%,0.02%,7.79%,45.34%,9.89%,76.80%,"45,270",0.413488852,"Los Angeles (El Sereno, Monterey Hills)","$65,761 ","$43,470 ",0.23
53,90019,2654.0,2653.0,0.565069223,"61,061",0.64%,17.62%,17.72%,0.35%,17.62%,21.69%,10.08%,43.92%,"61,033",0.557465543,"Los Angeles (Arlington Heights, Country Club Park, Mid-City)","$61,616 ","$39,325 ",0.21
54,91335,2564.0,2563.0,0.545899894,"78,205",1.28%,12.84%,3.59%,0.36%,27.52%,31.72%,7.90%,53.17%,"78,177",0.714056063,Los Angeles (Reseda),"$68,163 ","$45,872 ",0.24
55,90062,1565.0,1564.0,0.333120341,"34,277",1.84%,1.87%,29.08%,0.11%,2.49%,33.66%,8.73%,65.25%,"34,249",0.312824822,Los Angeles (South Los Angeles),"$56,500 ","$34,209 ",0.18
56,90004,1417.0,1416.0,0.301597444,"59,621",0.75%,25.53%,4.11%,0.17%,19.77%,33.39%,6.39%,47.00%,"59,593",0.544312816,"Los Angeles (Hancock Park, Rampart Village, Virgil Village, Wilshire Center, Windsor Square)","$54,947 ","$32,656 ",0.17
57,90038,2049.0,2048.0,0.436208733,"27,995",1.41%,6.69%,6.77%,0.30%,31.09%,32.22%,10.36%,50.55%,"27,967",0.255446051,Los Angeles (Hollywood),"$51,096 ","$28,805 ",0.15
58,90024,1061.0,1060.0,0.225772098,"50,611",0.31%,25.90%,4.05%,0.21%,49.60%,3.52%,8.52%,13.72%,"50,583",0.462016934,Los Angeles (Westwood),"$67,422 ","$45,131 ",0.24
59,90064,1624.0,1623.0,0.345686901,"25,161",0.52%,20.46%,2.40%,0.28%,55.88%,5.28%,8.57%,14.43%,"25,133",0.229560754,"Los Angeles (Cheviot Hills, Rancho Park)","$109,357 ","$87,066 ",0.46
60,90744,2412.0,2411.0,0.513525027,"57,030",0.81%,3.55%,2.96%,0.51%,3.67%,25.79%,8.88%,88.76%,"57,002",0.520647041,Los Angeles (Wilmington),"$55,141 ","$32,850 ",0.17
61,90043,954.0,953.0,0.202981896,"44,272",0.65%,2.27%,58.67%,0.32%,5.77%,14.23%,8.39%,29.01%,"44,244",0.404117534,"Los Angeles (Hyde Park, View Park, Windsor Hills)","$60,599 ","$38,308 ",0.2
62,90039,979.0,978.0,0.208306709,"28,839",2.57%,18.55%,1.40%,0.04%,41.95%,13.29%,11.25%,32.69%,"28,811",0.26315501,"Los Angeles (Atwater Village, Elysian Valley, Silver Lake)","$99,226 ","$76,935 ",0.41
63,91328,369.0,368.0,0.078381257,,,,,,,,,,,,,,,
64,91344,599.0,598.0,0.127369542,"54,465",0.77%,17.20%,2.91%,0.08%,44.63%,10.81%,10.47%,31.62%,"54,437",0.497218746,Los Angeles (Granada Hills),"$104,640 ","$82,349 ",0.43
65,90005,838.0,837.0,0.17827476,"36,910",0.88%,33.09%,5.91%,0.05%,9.49%,27.91%,11.53%,49.13%,"36,882",0.336874218,"Los Angeles (Hancock Park, Koreatown, Wilshire Center, Wilshire Park, Windsor Square)","$44,913 ","$22,622 ",0.12
66,90023,1762.0,1761.0,0.375079872,"45,732",1.46%,0.95%,1.04%,0.00%,1.52%,52.24%,9.93%,96.10%,"45,704",0.417452938,"Commerce, East Los Angeles","$48,293 ","$26,002 ",0.14
67,90001,258.0,257.0,0.054739084,"58,245",2.05%,0.50%,8.24%,0.12%,0.51%,44.61%,10.09%,90.59%,"58,217",0.531744654,"Los Angeles (South Los Angeles), Florence-Graham","$52,806 ","$30,515 ",0.16
68,90291,958.0,957.0,0.203833866,"25,685",0.90%,4.20%,6.37%,0.16%,66.35%,6.42%,7.72%,17.82%,"25,657",0.234346885,Los Angeles (Venice),"$105,871 ","$83,580 ",0.44
69,90046,2208.0,2207.0,0.470074547,"48,749",0.40%,6.61%,5.79%,0.09%,66.92%,4.86%,10.13%,15.15%,"48,721",0.445009728,"Los Angeles (Hollywood), West Hollywood","$77,162 ","$54,871 ",0.29
